name,url,img_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
Emily's Famous Hash Browns,https://www.allrecipes.com/recipe/57783/emilys-famous-hash-browns/,,"Side Dish ,Potato",Good old fashioned restaurant-style hash browns. Perfect with hot pepper sauce and ketchup!,4.54,1155,1202,"2 medium russet potatoes, shredded ; ½ medium onion, finely chopped ; ¼ cup all-purpose flour ; 1 egg ; 1 cup oil for frying, or as needed ;  salt and pepper to taste","Rinse shredded potatoes until water is clear, then drain and squeeze dry. Place shreds in a bowl, and mix in the onion, flour and egg until evenly distributed. Heat about 1/4 inch of oil in a large heavy skillet over medium-high heat. When oil is sizzling hot, place potatoes into the pan in a 1/2 inch thick layer. Cover the whole bottom of the pan, or make separate piles like pancakes. Cook until nicely browned on the bottom, then flip over and brown on the other side. It should take at least 5 minutes per side. If you are cooking them in one big piece, it can be cut into quarters for easier flipping. Remove from pan, and drain on paper towels. Season with salt and pepper and serve immediately.",20 mins,15 mins,35 mins,4,4 servings,183.0,26.1,1.6,6.9,1.1,46.5,4.7,2.7,24.5,62.5,23.6,1.5,29.2,496.3,,,63.3,2.7,,21.7,39.3,0.2,,,,,,,,,,
Classic Hash Browns,https://www.allrecipes.com/recipe/220520/classic-hash-browns/,,"Side Dish ,Potato",These classic diner-style hash browns are crispy on the outside and fluffy on the inside.,4.63,330,351,"2 russet potatoes, peeled ; 3 tablespoons clarified butter ;  salt and ground black pepper to taste ; 1 pinch cayenne pepper, or to taste ; 1 pinch paprika, or to taste","Shred potatoes into a large bowl filled with cold water. Stir until water is cloudy, drain, and cover potatoes again with fresh cold water. Stir again to dissolve excess starch. Drain potatoes well, pat dry with paper towels, and squeeze out any excess moisture. Heat clarified butter in a large non-stick pan over medium heat. Sprinkle shredded potatoes into the hot butter and season with salt, black pepper, cayenne pepper, and paprika. Cook potatoes until a brown crust forms on the bottom, about 5 minutes. Continue to cook and stir until potatoes are browned all over, about 5 more minutes.",10 mins,10 mins,20 mins,2,2 servings,334.0,37.5,1.7,19.4,12.0,49.2,4.4,4.9,13.4,174.4,27.4,1.8,50.1,911.4,,,898.8,3.5,,42.4,34.7,0.2,,,,,,,,,,
Microwave Chocolate Mug Cake,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,,"Desserts ,Cakes",This is my own version of the chocolate microwave mug cake. This chocolaty fudgy treat is truly decadent and great for nights when I need a yummy dessert that is ready in less than 10 minutes! Chocolate chips make this recipe even better.,4.47,1712,1686,¼ cup all-purpose flour ; ¼ cup white sugar ; 2 tablespoons unsweetened cocoa powder ; ⅛ teaspoon baking soda ; ⅛ teaspoon salt ; 3 tablespoons milk ; 2 tablespoons canola oil ; 1 tablespoon water ; ¼ teaspoon vanilla extract,"Mix flour, sugar, cocoa powder, baking soda, and salt in a large microwave-safe mug; stir in milk, canola oil, water, and vanilla extract. Cook in microwave until cake is done in the middle, about 1 minute 45 seconds.",5 mins,2 mins,7 mins,1,1 cake,603.1,82.0,52.5,30.4,3.2,3.7,6.9,4.4,470.2,273.8,73.3,3.0,66.1,269.5,,,86.5,3.6,,0.1,62.9,0.3,,,,,,,,,,
Broccoli Cheese Soup,https://www.allrecipes.com/recipe/13045/broccoli-cheese-soup/,,"Soups, Stews and Chili Recipes ,Soup Recipes","This is a great, very flavorful soup. Good for serving at luncheons or special gatherings with a quiche. To make this soup a little fancier, add 1 cup sliced mushrooms and 1 cup white wine with the onions.",4.62,3064,3302,"½ cup butter ; 1 onion, chopped ; 1 (16 ounce) package frozen chopped broccoli ; 4 (14.5 ounce) cans chicken broth ; 1 (1 pound) loaf processed cheese food, cubed ; 2 cups milk ; 1 tablespoon garlic powder ; ⅔ cup cornstarch ; 1 cup water","In a stockpot, melt butter over medium heat. Cook onion in butter until softened. Stir in broccoli, and cover with chicken broth. Simmer until broccoli is tender, 10 to 15 minutes. Reduce heat, and stir in cheese cubes until melted. Mix in milk and garlic powder. In a small bowl, stir cornstarch into water until dissolved. Stir into soup; cook, stirring frequently, until thick.",10 mins,30 mins,40 mins,12,12 servings,264.7,15.1,6.3,18.2,10.9,56.5,10.0,1.2,1136.4,163.7,275.0,0.5,18.0,193.3,,,822.4,2.0,,17.1,6.7,,,,,,,,,,,
Brine for Smoked Salmon,https://www.allrecipes.com/recipe/99447/brine-for-smoked-salmon/,,"Side Dish ,Sauces and Condiments",Salmon brine is made with lots of citrus flavor. It is also excellent for trout. This recipe makes enough to brine two large salmon fillets.,4.78,85,88,"1 gallon water ; 1 cup kosher salt ; 1 cup white sugar ; 1 cup brown sugar ;  lemon pepper to taste ; 1 (3 ounce) package dry crab and shrimp seasoning mix ;  freshly ground black pepper to taste ; 4 cloves garlic, crushed or to taste ; 1 dash hot pepper sauce (Optional); 4 lemons, sliced and crushed ; 2 oranges, sliced and crushed ; 1 lime, sliced and crushed ; 1 large yellow onion, sliced","Pour the water into a large bowl or small bucket. If you must use a pot, use one that does not contain aluminum. Stir in the kosher salt, white sugar, brown sugar, lemon pepper, parsley and seasoning mix. Add the garlic, hot pepper sauce, lemons, oranges, lime and onion. Soak your salmon in this brine in the refrigerator for 12 to 36 hours. Smoke using your desired method (see Cook's Note).",1 hr 10 mins,,13 hrs 10 mins,24,1 gallon,81.7,22.0,18.9,0.1,,,0.5,1.4,3824.0,0.8,32.8,0.3,7.1,80.8,,,38.8,0.1,,22.8,7.0,,,,,,,,,,,
Grilled Octopus,https://www.allrecipes.com/recipe/274231/grilled-octopus/,,"Seafood ,Shellfish","Tenderized octopus, char-grilled and drizzled with extra virgin olive oil, a squeeze of fresh lemon, and a sprinkling of fresh parsley. Simple, yet deliciously satisfying!",4.45,11,8,"2 tablespoons kosher salt ; 1 tablespoon black peppercorns ;  1 wine cork ; 3 ½ pounds octopus, head and beak removed ; 2 tablespoons extra virgin olive oil ; ½ lemon ; ½ tablespoon minced fresh parsley ; 1 pinch salt and freshly ground black pepper to taste","Fill a large pot 1/2 full with water. Add 2 tablespoons kosher salt, peppercorns, and the wine cork; bring to a boil over high heat. Meanwhile, place octopus on a cutting board. Using a wooden spoon or meat mallet, pound the octopus multiple times, starting in the middle and moving down each tentacle to tenderize the meat. Dip tentacles into the boiling water 3 times, holding them in the boiling water 2 to 3 seconds each time, until the tentacles curl up. Submerge entire octopus in the boiling water. Bring water back to a boil, reduce heat to low, cover, and simmer until octopus is fork-tender, 45 to 60 minutes. Remove from heat and cool for 30 minutes. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Grill octopus until charred on all sides, 3 to 4 minutes per side. Remove from heat, slice into pieces, and place on a serving platter. Drizzle with extra virgin olive oil, squeeze lemon over top, sprinkle with parsley, and season with salt and pepper to taste. Serve immediately.",15 mins,1 hr,1 hr 45 mins,6,6 servings,384.0,10.6,,8.9,1.6,198.7,61.9,0.7,2898.9,79.8,229.0,20.1,127.1,1329.4,,,652.5,19.4,,24.1,50.9,0.1,,,,,,,,,,
Slow Cooker Chili II,https://www.allrecipes.com/recipe/48449/slow-cooker-chili-ii/,,"Soups, Stews and Chili Recipes ,Chili Recipes","The slow cooker is a great way to make chili. This beefy chili is packed with beans, veggies, and spice.",4.3,987,1001,"1 pound ground beef ; ¾ cup diced onion ; ¾ cup diced celery ; ¾ cup diced green bell pepper ; 2 cloves garlic, minced ; 2 (10.75 ounce) cans tomato puree ; 1 (15 ounce) can kidney beans with liquid ; 1 (15 ounce) can kidney beans, drained ; 1 (15 ounce) can cannellini beans with liquid ; ½ tablespoon chili powder ; ½ teaspoon dried parsley ; 1 teaspoon salt ; ¾ teaspoon dried basil ; ¾ teaspoon dried oregano ; ¼ teaspoon ground black pepper ; ⅛ teaspoon hot pepper sauce","Place the beef in a skillet over medium heat, and cook until evenly brown. Drain grease. Place the beef in a slow cooker, and mix in onion, celery, green bell pepper, garlic, tomato puree, kidney beans, and cannellini beans. Season with chili powder, parsley, salt, basil, oregano, black pepper, and hot pepper sauce. Cover, and cook 8 hours on Low.",15 mins,8 hrs,8 hrs 15 mins,8,8 servings,272.9,33.4,4.9,7.6,2.7,34.4,18.9,10.9,975.0,68.2,84.8,4.8,31.5,546.0,,,661.6,5.6,,21.5,21.7,0.2,,,,,,,,,,
Easy Garlic Kale,https://www.allrecipes.com/recipe/241074/easy-garlic-kale/,,"Side Dish ,Vegetables","Kale is supposed to have cancer-fighting properties. I love it, but my husband hates it. Cooking it this way is the only way he'll eat it.",4.43,96,100,1 bunch kale ; 1 tablespoon olive oil ; 1 teaspoon minced garlic,"Soak kale leaves in a large bowl of water until dirt and sand begin to fall to the bottom, about 2 minutes. Lift kale from the bowl without drying the leaves and immediately remove and discard stems. Chop the kale leaves into 1-inch pieces. Heat olive oil in a large skillet over medium heat; cook and stir garlic until sizzling, about 1 minute. Add kale to the skillet and place a cover over the top. Cook, stirring occasionally with tongs, until kale is bright green and slightly tender, 5 to 7 minutes.",10 mins,10 mins,25 mins,4,4 servings,86.9,11.4,,4.2,0.6,,3.7,2.3,48.3,37.5,152.5,1.9,38.3,503.5,,,17221.2,1.9,,134.6,32.5,0.1,,,,,,,,,,
Cajun Blackened Catfish,https://www.allrecipes.com/recipe/219185/cajun-blackened-catfish/,,"Seafood ,Fish","This is a recipe that I obtained from a very good Cajun friend who is a native of Lafayette, Louisiana. His family adopted me (friendly) many years ago and we have swapped Cajun and Creole recipes through the years.",4.63,59,62,"1 teaspoon ground black pepper ; 1 teaspoon garlic powder ; 1 teaspoon onion powder ; 1 teaspoon paprika ; 1 teaspoon dried parsley ; 1 teaspoon ground cayenne pepper ; 1 teaspoon kosher salt ; ½ teaspoon dried oregano ; ½ teaspoon dried thyme ; 4 (4 ounce) catfish fillets, skinned ; ¾ cup unsalted butter","In a shallow bowl, mix together the black pepper, garlic powder, onion powder, paprika, parsley, cayenne pepper, kosher salt, oregano, and thyme until thoroughly combined. Press the catfish fillets into the spice mixture to thoroughly coat. Arrange a portable heat source outdoors, such as a butane burner or side burner of a gas grill. Melt butter in a glass or metal bowl. Light the burner, and place a large cast-iron skillet onto the burner over high heat. Pour about 1/4 cup of melted butter into the skillet; set remaining 1/2 cup of butter aside. When the butter in the skillet is smoking hot, lay the catfish fillets into the skillet. Cook until the spices are burned onto the fillets and the catfish is opaque and flaky inside, about 3 minutes per side. Don't breathe smoke from burning spices. To serve, pour remaining 1/2 cup of butter over the catfish.",10 mins,10 mins,20 mins,4,4 servings,466.3,2.2,0.5,43.2,23.9,144.1,18.2,0.8,545.7,389.2,34.8,1.3,31.6,395.7,,,1640.6,6.1,,2.1,15.7,0.4,,,,,,,,,,
Basic Bechamel Sauce,https://www.allrecipes.com/recipe/139987/basic-bechamel-sauce/,,"Side Dish ,Sauces and Condiments",This is a quick and easy bechamel sauce.,4.55,152,149,5 tablespoons butter ; ¼ cup all-purpose flour ; 1 quart milk ; 2 teaspoons salt ; ¼ teaspoon freshly grated nutmeg,"Melt butter in a large saucepan over medium heat. Once melted, stir in the flour until smooth. Continue stirring as the flour cooks to a light, golden, sandy color, about 7 minutes. Increase heat to medium-high and slowly whisk in milk until thickened by the roux. Bring to a gentle simmer, then reduce heat to medium-low and continue simmering until the flour has softened and not longer tastes gritty, 10 to 20 minutes, then season with salt and nutmeg.",5 mins,35 mins,40 mins,8,1 quart,139.3,8.7,5.8,9.7,6.1,28.8,4.5,0.1,682.6,87.1,146.0,0.2,14.6,189.8,,,452.5,1.2,,0.2,13.6,0.1,,,,,,,,,,
Miso and Soy Chilean Sea Bass,https://www.allrecipes.com/recipe/190094/miso-and-soy-chilean-sea-bass/,,"World Cuisine ,Asian","This Sea Bass will melt in your mouth! Delicious, I had this at Blue Water Grill in NYC and it was by far the best sea bass I've ever had in my life. This recipe is as close as I can get to tasting like the restaurants. They served it with bok choy and sticky rice on the side.",4.73,119,110,"⅓ cup sake ; ⅓ cup mirin (Japanese sweet rice wine) ; 3 tablespoons soy sauce ; ¼ cup packed brown sugar ; ⅓ cup miso paste ; 4 (4 ounce) fillets fresh sea bass, about 1 inch thick ; 2 tablespoons chopped green onion","Whisk together the sake, mirin, soy sauce, brown sugar, and miso paste in a bowl to make the marinade. Place the sea bass in a large sealable plastic bag and pour the marinade over the sea bass. Chill in refrigerator 3 to 6 hours. Arrange the fillets on a baking sheet. Discard the marinade. Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Prop the oven door to remain slightly ajar. Bake the sea bass under the broiler until the fish flakes easily with a fork, 7 to 9 minutes. Sprinkle with chopped green onions to serve.",10 mins,7 mins,3 hrs 17 mins,4,4 fillets,286.9,27.9,22.3,3.7,0.8,47.2,24.7,1.4,1612.5,33.0,42.2,1.3,65.2,392.7,,,239.4,6.9,,0.6,13.4,0.1,,,,,,,,,,
Beer Batter Fish Made Great,https://www.allrecipes.com/recipe/20107/beer-batter-fish-made-great/,,"Seafood ,Fish","This is a great beer batter fish recipe, and is very easy to do. We often fish all day with friends, and then cook the fish afterwards out on deck. Yummy and great!",4.26,787,819,"2 quarts vegetable oil for frying ; 8 (4 ounce) fillets cod ;  salt and pepper to taste ; 1 cup all-purpose flour ; 2 tablespoons garlic powder ; 2 tablespoons paprika ; 2 teaspoons salt ; 2 teaspoons ground black pepper ; 1 egg, beaten ; 1 (12 fluid ounce) can or bottle beer","Heat oil in a deep fryer to 365 degrees F (185 degrees C). Rinse fish, pat dry, and season with salt and pepper. Combine flour, garlic powder, paprika, 2 teaspoons salt, and 2 teaspoons pepper. Stir egg into dry ingredients. Gradually mix in beer until a thin batter is formed. You should be able to see the fish through the batter after it has been dipped. Dip fish fillets into the batter, then drop one at a time into hot oil. Fry fish, turning once, until both sides are golden brown. Drain on paper towels, and serve warm.",15 mins,15 mins,30 mins,8,8 servings,447.5,22.6,1.4,30.2,4.5,67.5,18.8,1.6,675.0,271.5,41.0,2.1,34.2,449.3,,,961.0,4.0,,3.6,43.9,0.2,,,,,,,,,,
Roasted Potatoes and Onions - Easy and Delicious,https://www.allrecipes.com/recipe/241713/roasted-potatoes-and-onions-easy-and-delicious/,,"Side Dish ,Potato","If you are sick and tired of mash potatoes, fries, chips and all the other ways potatoes are prepared but don't have the time for a complicated roasted vegetables dish than this is an easy and flavorful way to get 'er done.",4.39,41,32,"2 pounds potatoes, sliced into 1/2-inch-thick pieces ; 1 onion, halved and each half cut into quarters ; ½ cup canola oil ; ½ cup olive oil ; 4 cloves garlic ; 1 envelope onion soup mix ; 1 tablespoon chopped fresh rosemary, or more to taste ; 1 tablespoon freshly ground black pepper","Preheat oven to 450 degrees F (230 degrees C). Combine potatoes and onion in a roasting pan; cover with canola oil and olive oil. Add garlic, onion soup mix, rosemary, and black pepper and stir until potatoes and onion are evenly coated. Cover roasting pan with aluminum foil. Roast in the preheated oven for 25 minutes. Remove foil and continue to roast until potatoes and onion are browned and edges are crispy, 15 to 30 minutes.",15 mins,40 mins,55 mins,6,6 servings,474.3,34.3,3.0,37.0,4.0,,4.0,4.6,424.2,332.9,46.0,1.8,41.4,715.9,,,15.4,2.6,,34.1,31.9,0.2,,,,,,,,,,
Our Favorite Balsamic Vinaigrette,https://www.allrecipes.com/recipe/218337/our-favorite-balsamic-vinaigrette/,,"Side Dish ,Sauces and Condiments","This vinaigrette does not separate for at least 30 minutes once you shake it! Simple, sweet, and savory.",4.81,504,494,"½ cup olive oil ; ¼ cup balsamic vinegar ; 1 teaspoon honey ; 1 teaspoon Dijon mustard ; 1 shallot, minced ; 1 clove garlic, minced ;  salt and ground black pepper to taste","Combine the olive oil, balsamic vinegar, honey, Dijon mustard, shallot, garlic, salt, and black pepper together in a glass jar with a lid. Replace lid on the jar and shake vigorously until thoroughly combined.",10 mins,,10 mins,8,8 servings,132.8,3.2,2.1,13.5,1.9,,0.2,0.1,38.0,121.7,5.5,0.2,1.4,29.0,,,74.4,0.1,,0.7,2.2,,,,,,,,,,,
