id,nom,img_url,time_total,time_prepa,time_repo,time_cuisson,difficylty,budget,numberP,etape,ingredients
22,Cheesecake au fromage blanc inratable au Thermomix,https://assets.afcdn.com/recipe/20191022/101009_w96h73c1cx2880cy1920cxb5760cyb3840.jpg,1 h,10 min,-,50 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffez le four à 180 °C (th. 6).'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Dans la cuve de votre Thermomix, broyez les biscuits, 20 sec / 0 °C / vit. 7 à 5. Ajoutez le beurre pommade et mélangez en diminuant la vitesse. Tapissez le fond d’un moule à charnière de ce mélange en tassant bien avec le dos d'une cuillère. Placez au réfrigérateur. Essuyez sommairement la cuve.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Battez la faisselle jusqu'à ce qu'elle soit lisse pendant 1 min / 0 °C / vit. 5. Puis ajoutez le sucre, la farine, la crème, l’extrait de vanille et les œufs un par un.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Versez cette préparation dans le moule, sur la base biscuitée. Enfournez pour environ 50 minutes de cuisson jusqu'à ce que la préparation au fromage soit ferme au toucher.""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Laissez refroidir, démoulez et servez frais.'}]","[{'id_ingre': 1, 'nom_ingre': 'fromage blanc', 'quantity': '500', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67744_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'sucre semoule', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68916_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 3, 'nom_ingre': 'crème fraîche', 'quantity': '25', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67763_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'farine', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'extrait de vanille', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68936_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}, {'id_ingre': 7, 'nom_ingre': 'beurre tendre', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68920_w96h96c1cxb300cyb300.jpg'}, {'id_ingre': 8, 'nom_ingre': 'beurre tendre', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68920_w96h96c1cxb300cyb300.jpg'}, {'id_ingre': 9, 'nom_ingre': 'petit beurre', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67580_w96h96c1cx350cy350.jpg'}]"
23,Madeleines faciles (sans lait),https://assets.afcdn.com/recipe/20131024/33885_w96h73c1cx2808cy1872.jpg,35 min,15 min,-,20 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Mélanger le tout et cuire à four moyen (thermostat 3-4/150-170°C) dans un moule à madeleines, pendant 20 mn à 1/2 h (surveiller la cuisson).'}]","[{'id_ingre': 1, 'nom_ingre': 'beurre', 'quantity': '60', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 2, 'nom_ingre': 'farine', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': ""eau de fleur d'oranger"", 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69026_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 5, 'nom_ingre': ""jaunes d'oeuf"", 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20171128/75634_w96h96c1cx1250cy1250cxb2500cyb2500.jpg'}, {'id_ingre': 6, 'nom_ingre': ""blancs d'oeuf"", 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20171128/75633_w96h96c1cx1744cy1466cxb3488cyb2932.jpg'}]"
24,Gâteau madeleine,https://assets.afcdn.com/recipe/20100120/48300_w96h73c1cx256cy192.jpg,50 min,20 min,-,30 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Faire fondre le beurre et laisser refroidir.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Pendant ce temps-là mélanger les oeufs, le sucre et le parfum jusqu'à ce que le mélange blanchisse.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Ajouter alternativement le beurre fondu et la farine à laquelle la levure a été rajoutée.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Mettre dans un moule à cake beurré avant de l'enfourner d'abord 7 min à 190°C (thermostat 6-7) puis 18 min à 160° (thermostat 5-6).""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Laisser refoidir avant de servir.'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Cette recette peut servir à faire des madeleines. Dans ce cas, il est préférable de laisser la pâte reposer au réfrigérateur 3 ou 4 heures avant de les réaliser.'}]","[{'id_ingre': 1, 'nom_ingre': 'citron', 'quantity': '\xa0', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67457_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'beurre', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 3, 'nom_ingre': 'beurre', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 4, 'nom_ingre': 'sucre', 'quantity': '120', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'farine', 'quantity': '120', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'levure', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67565_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
25,Gâteau aux pommes et au chocolat,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w96h96c1.jpg,1 h 15 min,40 min,-,35 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffer le four à 175°C (thermostat 5-6). '}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Beurrer et fariner un moule. '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Faire fondre le chocolat avec 2 cuillères à soupe d'eau au micro-onde.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Couper la pomme en morceaux (pas trop gros), les tremper dans le chocolat, et laisser sécher sur du papier sulfurisé.'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Mélanger les yaourts avec le sucre, et les oeufs. '}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Rajouter la farine, la levure, et une pincée de sel.'}, {'etap_id': 6, 'titre': 'Étape 7', 'description': ""Quand le chocolat a bien sécher sur les morceaux de pommes. Les mélanger avec la pâte que vous venez de confectionner. Enfin, rajouter l'huile.""}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Verser la pâte dans le moule, puis enfourner à 175°C (thermostat 5-6). '}, {'etap_id': 8, 'titre': 'Étape 9', 'description': 'Servir chaud, pour que le chocolat autour des morceaux reste fondant. Bon appétit!!!!'}]","[{'id_ingre': 1, 'nom_ingre': 'chocolat', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20200121/106791_w96h96c1cx1754cy1754cxb3509cyb3509.jpg'}, {'id_ingre': 2, 'nom_ingre': 'pomme', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'yaourts', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67473_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'farine', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'sucre', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'levure chimique', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67355_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'huile', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20220117/127496_w96h96c1cx411cy411cxb822cyb822.jpg'}, {'id_ingre': 8, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
26,Madeleines faciles au Monsieur Cuisine,https://assets.afcdn.com/recipe/20191208/103908_w96h73c1cx3153cy2153cxb5184cyb3456.jpg,37 min,10 min,15 min,12 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Faites fondre le beurre dans la cuve du Monsieur Cuisine pendant 3 min / vit. 2 / 80°C. Réservez dans un bol, puis replacez la cuve, sans essuyer. '}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Versez-y les œufs avec le sucre, et blanchissez pendant 1 min / vit. 3 / 0 °C. '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Ajoutez ensuite, par le trou du bouchon, tout en mélangeant pendant 30 sec / vit. 5 / 0 °C, la fleur d'oranger et le lait. ""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Ajoutez, par le trou du bouchon, tout en mélangeant pendant 45 sec / vit. 5 / 0 °C, la farine, la levure chimique puis le beurre. '}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Laissez reposer pendant 15 minutes. Préchauffez le four à 210\xa0°C (th. 7). '}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Beurrez les moules à madeleines et répartissez la préparation. Remplissez aux deux tiers chaque alvéole car les madeleines vont gonfler\xa0! '}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Enfournez pour 5 minutes, puis baissez le four à 180\xa0°C (th. 6) pour encore 7 minutes de cuisson. Démoulez dès la sortie du four.'}]","[{'id_ingre': 1, 'nom_ingre': 'farine', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'beurre', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'lait', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': ""fleur d'oranger"", 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69044_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 6, 'nom_ingre': 'levure chimique', 'quantity': '8', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67355_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
27,Gâteau aux pommes et à la cannelle,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w96h96c1.jpg,50 min,20 min,-,30 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Mélangez un à un le lait concentré sucré, l'huile, le jaune des 3 oeufs et la farine jusqu'à l'obtention d'une pâte bien homogène. ""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Ajoutez les pommes pelées et coupées en dés. '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Pour finir incorporer délicatement les blancs d'oeufs battus en neige. ""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Faites cuire pendant environ 30 mn à 180°C (Th 6 )'}]","[{'id_ingre': 1, 'nom_ingre': 'pommes', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'huile', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20220117/127496_w96h96c1cx411cy411cxb822cyb822.jpg'}, {'id_ingre': 3, 'nom_ingre': 'farine', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'lait concentré sucré', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20181203/84509_w96h96c1cx1200cy1200cxb2400cyb2400.jpg'}, {'id_ingre': 5, 'nom_ingre': 'cannelle', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67747_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
28,Madeleines faciles au Cooking Chef,https://assets.afcdn.com/recipe/20191208/103907_w96h73c1cx2880cy1920cxb5760cyb3840.jpg,37 min,10 min,15 min,12 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Faites fondre le beurre dans la cuve du Cooking Chef avec l'outil batteur K / 3 min / 80 °C / vit. 3. Réservez dans un bol, puis replacez la cuve, sans essuyer. ""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Versez-y les œufs avec le sucre, et blanchissez avec l'outil batteur souple / 1 min / 0 °C / vit. 4. ""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Ajoutez ensuite, par le trou du bouchon, tout en mélangeant avec l'outil batteur souple / 30 sec / 0 °C / vit. 5, la fleur d'oranger et le lait. ""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Ajoutez, par le trou du bouchon, tout en mélangeant avec l'outil batteur souple / 45 sec / 0 °C / vit. 5, la farine, la levure chimique puis le beurre.""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Laissez reposer pendant 15 minutes. Préchauffez le four à 210\xa0°C (th. 7). '}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Beurrez les moules à madeleines et répartissez la préparation. Remplissez aux deux tiers chaque alvéole car les madeleines vont gonfler\xa0! '}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Enfournez pour 5 minutes, puis baissez le four à 180\xa0°C (th. 6) pour encore 7 minutes de cuisson. Démoulez dès la sortie du four.'}]","[{'id_ingre': 1, 'nom_ingre': 'farine', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'beurre', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'lait', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': ""fleur d'oranger"", 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69044_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 6, 'nom_ingre': 'levure chimique', 'quantity': '8', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67355_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
29,Gâteau moelleux chocolat et coco,https://assets.afcdn.com/recipe/20161201/47511_w96h73c1cx2126cy2839.jpg,55 min,10 min,-,45 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Faire fondre le beurre et le chocolat ensemble, à feu doux.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Dans un récipient, mélanger le sucre et les oeufs, puis la farine.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Une fois le chocolat et le beurre fondus, les ajouter au mélange. La pâte doit être de texture mi-liquide sans grumeaux. Incorporez alors à votre convenance la noix de coco.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Mettez un peu d'huile dans le moule avec l'aide d'un sopalin, mettez également un peu de farine pour éviter que le gâteau n'accroche à la cuisson.""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Cuire 45-50 mn au four à 180C° / Th 6'}]","[{'id_ingre': 1, 'nom_ingre': 'sucre', 'quantity': '300', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'farine', 'quantity': '80', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'beurre', 'quantity': '180', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 4, 'nom_ingre': 'chocolat', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20200121/106791_w96h96c1cx1754cy1754cxb3509cyb3509.jpg'}, {'id_ingre': 5, 'nom_ingre': 'noix de coco rapée', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67634_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'beurre', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
30,Moelleux au chocolat et noisettes,https://assets.afcdn.com/recipe/20210129/117700_w96h73c1cx668cy686cxb1336cyb1372.jpg,40 min,15 min,-,25 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffez votre four Th.7 (200°C).'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Faites fondre le chocolat au four à micro-ondes selon le mode d'emploi. Ajoutez le sucre, le beurre fondu, les œufs et la farine. Mélangez. Ajoutez la levure et les noisettes hâchées, mélangez bien.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Versez dans un moule à manqué beurré et fariné. Faites cuire votre moelleux au chocolat et noisettes dans votre four environ 25 minutes.'}]","[{'id_ingre': 1, 'nom_ingre': 'noisettes', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67496_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'Chocolat NESTLÉ DESSERT Noir', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20190108/85693_w96h96c1cx1200cy1200cxb2400cyb2400.jpg'}, {'id_ingre': 3, 'nom_ingre': 'farine', 'quantity': '80', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'beurre', 'quantity': '60', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 5, 'nom_ingre': 'sucre', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}, {'id_ingre': 7, 'nom_ingre': 'levure', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67565_w96h96c1cx350cy350.jpg'}]"
31,"Gâteau pommes, noix et cannelle",https://assets.afcdn.com/recipe/20160404/30122_w96h73c1cx1034cy1500.jpg,1 h 25 min,25 min,-,1 h,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Mélangez au fouet les oeufs, l'huile, la cannelle, les sucres, puis la farine tamisée avec la levure chimique. Incorporez à la pâte lisse les pommes pelées et coupées en dés et les cerneaux de noix hachés (la pâte est alors très épaisse et dure à mélanger). ""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Versez dans un moule à cake beurré et fariné.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Faites cuire au four à thermostat 6 (180°C) pendant 1 heure environ.'}]","[{'id_ingre': 1, 'nom_ingre': 'huile', 'quantity': '180', 'image_ingre': 'https://assets.afcdn.com/recipe/20220117/127496_w96h96c1cx411cy411cxb822cyb822.jpg'}, {'id_ingre': 2, 'nom_ingre': 'cannelle', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67747_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre vanillé', 'quantity': '7.5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67644_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'sucre', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'farine', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'levure chimique', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67355_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'pommes', 'quantity': '4', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 8, 'nom_ingre': 'cerneau de noix', 'quantity': '75', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69102_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 9, 'nom_ingre': 'oeufs', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
32,Moelleux au chocolat sans beurre sans sucre ,https://assets.afcdn.com/recipe/20171103/74278_w96h73c1cx1350cy900cxb2700cyb1800.jpg,55 min,20 min,-,35 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffez le four à thermostat 5 (150°C).'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Faites chauffer la crème. Hors du feu,'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""ajoutez le chocolat cassé en petits morceaux. Mélangez pour obtenir une préparation lisse, puis incorporez la maïzena et les 4 jaunes d'oeufs.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Beurrez un moule à manquer. Battez les blancs en neige, et incorporez-les à la préparation au chocolat. Versez dans le moule et faites cuire 35 mn.'}]","[{'id_ingre': 1, 'nom_ingre': 'chocolat noir', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20181227/85156_w96h96c1cx1200cy1200cxb2400cyb2400.jpg'}, {'id_ingre': 2, 'nom_ingre': 'maïzena', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67578_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'oeufs', 'quantity': '4', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}, {'id_ingre': 4, 'nom_ingre': 'crème liquide', 'quantity': '20', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67338_w96h96c1cx350cy350.jpg'}]"
