name,url,img_data_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
Banana Crumb Muffins,https://www.allrecipes.com/recipe/17652/banana-crumb-muffins/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F-0001%2F11%2F30%2F428420.jpg,"Bread,Quick Bread Recipes",The crumb topping is what makes these banana muffins stand apart from the ordinary. They're scrumptious!,4.81,14592,15545,"1 ½ cups all-purpose flour , 1 teaspoon baking soda , 1 teaspoon baking powder , ½ teaspoon salt , 3 bananas, mashed , ¾ cup white sugar , 1 egg, lightly beaten , ⅓ cup butter, melted , ⅓ cup packed brown sugar , 2 tablespoons all-purpose flour , ⅛ teaspoon ground cinnamon , 1 tablespoon butter","Preheat oven to 375 degrees F (190 degrees C). Lightly grease 10 muffin cups, or line with muffin papers. In a large bowl, mix together 1 1/2 cups flour, baking soda, baking powder and salt. In another bowl, beat together bananas, sugar, egg and melted butter. Stir the banana mixture into the flour mixture just until moistened. Spoon batter into prepared muffin cups. In a small bowl, mix together brown sugar, 2 tablespoons flour and cinnamon. Cut in 1 tablespoon butter until mixture resembles coarse cornmeal. Sprinkle topping over muffins. Bake in preheated oven for 18 to 20 minutes, until a toothpick inserted into center of a muffin comes out clean.",15 mins,20 mins,35 mins,10,10 muffins,263.3,46.0,26.5,8.1,4.8,37.9,3.2,1.5,352.5,72.9,43.3,1.2,15.6,167.6,,,271.7,2.1,,3.1,46.9,0.2,,,,,,,,,,
Stuffed Shells III,https://www.allrecipes.com/recipe/21532/stuffed-shells-iii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FStuffed-Shells.jpg,"Main Dishes,Pasta",This recipe is a hit wherever you go. It is a very rich and cheesy meal and looks like a deep-dish pizza when done. I altered what I was originally given because I did not like cottage cheese and added other ingredients that I thought it deserved.,4.55,1215,1281,"1 (12 ounce) package jumbo pasta shells , 2 eggs, beaten , 1 (32 ounce) container ricotta cheese , 1 pound shredded mozzarella cheese, divided , 8 ounces grated Parmesan cheese, divided , 1 tablespoon dried parsley , 2 teaspoons salt , 1 teaspoon ground black pepper , 1 (28 ounce) jar pasta sauce , 8 ounces sliced fresh mushrooms","Preheat oven to 350 degrees F (175 degrees C). Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain. In a large bowl, mix eggs, ricotta, half the mozzarella, half the Parmesan, parsley, salt and pepper until well combined. Stuff cooked shells with ricotta mixture and place in a 9x13 inch baking dish. In a medium bowl, stir together pasta sauce, mushrooms and reserved mozzarella and Parmesan. Pour over stuffed shells. Bake in preheated oven 45 to 60 minutes, until edges are bubbly and shells are slightly set.",30 mins,1 hr,1 hr 30 mins,10,1 9x13-inch dish,549.7,43.7,9.3,24.5,13.9,115.6,37.7,3.4,1544.2,220.5,883.8,2.9,70.8,593.8,,,1089.8,13.7,,2.3,116.4,0.1,,,,,,,,,,
Sweet Potato Bread I,https://www.allrecipes.com/recipe/6666/sweet-potato-bread-i/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F620196.jpg,"Bread,Quick Bread Recipes",A Southern delight with a 'more-ish' taste. One bite and you want more! This bread freezes well.,4.71,529,545,"1 ½ cups white sugar , ½ cup vegetable oil , 2 eggs , 1 ¾ cups sifted all-purpose flour , 1 teaspoon baking soda , ¼ teaspoon salt , ½ teaspoon ground cinnamon , ½ teaspoon ground nutmeg , ⅓ cup water , 1 cup cooked and mashed sweet potatoes , ½ cup chopped pecans","Combine sugar and oil; beat well. Add eggs and beat. Combine flour, baking soda, salt, cinnamon and nutmeg. Stir flour mixture into egg mixture alternately with water. Stir in sweet potatoes and chopped nuts. Pour batter into greased 9x5 inch loaf pan (or 2 small loaf pans). Bake at 350 degrees F (175 degrees C) for about one hour.",,,,12,1 - 9 x 5 inch loaf,303.3,43.2,26.4,13.5,1.8,31.0,3.7,1.6,171.4,121.6,18.1,1.2,15.3,129.8,,,3246.5,2.2,,3.3,39.4,0.2,,,,,,,,,,
Bannock,https://www.allrecipes.com/recipe/6919/bannock/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5189647.jpg,"Bread,Quick Bread Recipes",Our ancestors made this bread when on the trail. Try throwing in blueberries or raisins for added flavor.,4.4,217,216,"3 cups all-purpose flour , 1 teaspoon salt , 2 tablespoons baking powder , ¼ cup butter, melted , 1 ½ cups water","Measure flour, salt, and baking powder into a large bowl. Stir to mix. Pour melted butter and water over flour mixture. Stir with fork to make a ball. Turn dough out on a lightly floured surface, and knead gently about 10 times. Pat into a flat circle 3/4 to 1 inch thick. Cook in a greased frying pan over medium heat, allowing about 15 minutes for each side. Use two lifters for easy turning. May also be baked on a greased baking sheet at 350 degrees F (175 degrees C) for 25 to 30 minutes.",10 mins,30 mins,40 mins,12,1 loaf,148.9,24.5,0.1,4.1,2.5,10.2,3.3,0.8,465.5,37.3,141.1,1.7,7.6,35.1,,,118.2,2.5,,,57.3,0.2,,,,,,,,,,
Absolute Mexican Cornbread,https://www.allrecipes.com/recipe/24209/absolute-mexican-cornbread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F11%2F09%2F24209-absolute-mexican-cornbread-sunnydaysnora-2x1-1.jpg,"Bread,Quick Bread Recipes","This has got to be the tastiest and the most moist cornbread I have ever made. It is the most requested thing I cook, so I am sharing it. Don't let the ingredients fool you. It's unbelievable.",4.56,1348,1343,"1 cup butter, melted , 1 cup white sugar , 4 eggs , 1 (15 ounce) can cream-style corn , ½ (4 ounce) can chopped green chile peppers, drained , ½ cup shredded Monterey Jack cheese , ½ cup shredded Cheddar cheese , 1 cup all-purpose flour , 1 cup yellow cornmeal , 4 teaspoons baking powder , ¼ teaspoon salt","Preheat oven to 300 degrees F (150 degrees C). Lightly grease a 9x13 inch baking dish. In a large bowl, beat together butter and sugar. Beat in eggs one at a time. Blend in cream corn, chiles, Monterey Jack and Cheddar cheese. In a separate bowl, stir together flour, cornmeal, baking powder and salt. Add flour mixture to corn mixture; stir until smooth. Pour batter into prepared pan. Bake in preheated oven for 1 hour, until a toothpick inserted into center of the pan comes out clean.",15 mins,1 hr,1 hr 15 mins,6,6 servings,742.7,83.6,37.0,40.9,24.4,223.6,14.5,2.6,1050.7,368.4,305.1,3.3,38.1,254.1,,,1450.5,6.0,,10.0,144.9,0.4,,,,,,,,,,
Easy Tuna Casserole,https://www.allrecipes.com/recipe/18871/easy-tuna-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4560684.jpg,"Seafood,Fish","Tuna, macaroni, creamy soup, cheese and fried onions are all you need to make this super easy tuna casserole that I learned from my roommate. It's great as leftovers, too.",4.27,1756,1802,"3 cups cooked macaroni , 1 (5 ounce) can tuna, drained , 1 (10.75 ounce) can condensed cream of chicken soup , 1 cup shredded Cheddar cheese , 1 ½ cups French fried onions","Preheat oven to 350 degrees F (175 degrees C). In a 9x13-inch baking dish, combine the macaroni, tuna, and soup. Mix well, and then top with cheese. Bake at 350 degrees F (175 degrees C) for about 25 minutes, or until bubbly. Sprinkle with fried onions, and bake for another 5 minutes. Serve hot.",15 mins,30 mins,45 mins,8,8 servings,462.4,37.1,0.6,28.5,9.7,22.6,11.5,0.9,705.8,256.5,112.6,1.4,19.2,92.9,,,219.7,5.5,,,42.3,0.1,,,,,,,,,,
Baked Homemade Macaroni and Cheese,https://www.allrecipes.com/recipe/102393/baked-homemade-macaroni-and-cheese/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2588250.jpg,"Main Dishes,Pasta",This recipe was given to me by my friend Katie. It's a longtime favorite in her family.,4.37,582,608,"2 ½ cups elbow macaroni , ¼ cup butter , ¼ cup all-purpose flour , ½ teaspoon salt , 4 cups milk , 1 pound shredded Cheddar cheese , ¼ cup butter, melted , 1 sleeve buttery round crackers, crushed","Preheat the oven to 350 degrees F (175 degrees C). Fill a large pot with lightly salted water and bring to a boil over high heat. Stir in the macaroni, and cook uncovered, stirring occasionally, until the pasta has cooked through, but is still firm to the bite, about 8 minutes. Drain well. Melt 1/4 cup butter in a large saucepan over medium heat. Stir in flour and salt. Cook, stirring constantly, for 2 minutes. Whisk in milk and simmer, stirring frequently, until mixture thickens slightly, about 5 minutes. Turn off heat and stir in Cheddar cheese until the cheese is melted. Add the macaroni and stir to coat. Pour the mixture into a 9x13-inch baking dish. Mix the 1/4 remaining cup melted butter and crushed crackers together in a bowl; scatter the cracker mixture evenly over the macaroni mixture. Bake in preheated oven until golden brown on top, about 45 minutes.",15 mins,1 hr,1 hr 15 mins,6,6 servings,810.1,57.3,9.8,49.9,28.9,133.1,32.4,2.5,1011.5,449.3,761.5,3.0,60.3,376.4,,,1538.3,9.5,,0.3,111.7,0.3,,,,,,,,,,
Buttered Noodles,https://www.allrecipes.com/recipe/244458/buttered-noodles/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2518260.jpg,"Main Dishes,Pasta","Such a simple and delicious recipe, yet I get many questions on how to make it.",4.5,121,129,"1 (16 ounce) package fettuccine noodles , 6 tablespoons butter , ⅓ cup grated Parmesan cheese ,  salt and ground black pepper to taste","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in fettuccine, bring back to a boil, and cook pasta over medium heat until tender yet firm to the bite, 8 to 10 minutes. Drain and return pasta to pot. Mix butter, Parmesan cheese, salt, and pepper into pasta until evenly combined.",5 mins,10 mins,15 mins,8,8 servings,294.1,41.4,1.9,10.9,6.3,25.8,8.9,1.9,134.6,98.1,51.3,1.7,28.2,112.9,,,280.9,3.7,,,113.2,,,,,,,,,,,
Spanish Rice Chicken I,https://www.allrecipes.com/recipe/8985/spanish-rice-chicken-i/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9395587.jpg,"World Cuisine,Latin American","This recipe is so quick and is so very simple! It is perfect for making in a recreational vehicle (RV) galley for a quick, delicious dinner on the road and on the go! Andale, pues!",4.13,53,49,"1 (6.8 ounce) package Spanish-style rice mix , 1 tablespoon butter , 2 cups hot water , 1 skinless, boneless chicken breast half - cut into cubes , 1 cup salsa , 1 (14.5 ounce) can diced tomatoes with green chile peppers","In a large skillet over medium heat prepare rice according to package directions, using the butter/margarine to brown the vermicelli and rice to a golden brown. Add the water, chicken, salsa and tomatoes and bring all to a boil. Cover skillet, reduce heat and let simmer for approximately 25 to 30 minutes, or until all liquid is absorbed.",10 mins,30 mins,40 mins,6,6 servings,162.4,27.8,3.0,2.6,1.3,16.5,8.5,2.5,1140.4,23.1,39.3,1.5,19.5,251.3,,,509.9,4.8,,10.4,54.0,0.1,,,,,,,,,,
Creamy Broccoli and Cheese Casserole,https://www.allrecipes.com/recipe/231048/creamy-broccoli-and-cheese-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F971565.jpg,"Side Dish,Casseroles","Creamy broccoli casserole that is a great way to get kids to eat their vegetables! If you are going to freeze or refrigerate until later, do not add the crumbs until you are about to cook it.",4.3,53,41,"2 pounds fresh broccoli, coarsely chopped , 1 large onion, coarsely chopped , ½ cup water , ¼ cup all-purpose flour , 1 (14 ounce) can evaporated milk, divided ,  salt to taste , 1 cup cubed sharp Cheddar cheese , 2 tablespoons dry bread crumbs, or to taste , 1 tablespoon butter, or to taste","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x12-inch baking dish. Place broccoli and onion into a saucepan, pour in water, and bring to a boil. Reduce heat to low, cover, and cook until broccoli turns bright green and starts to become tender, 8 to 10 minutes. Whisk flour and 1/4 cup evaporated milk together in a bowl until smooth. Stir remaining evaporated milk and salt into broccoli. Gently stir flour mixture into broccoli mixture and bring to a simmer; cook until thickened, 2 to 3 minutes. Remove from heat and stir in sharp Cheddar cheese, mixing until cheese has melted into the sauce. Cook and stir bread crumbs with butter in a small skillet over medium heat until butter has melted and crumbs begin to give a toasted fragrance, 1 to 2 minutes. Remove from heat. Transfer broccoli mixture into the prepared baking dish and sprinkle crumbs atop casserole. Bake in the preheated oven until bubbling and browned, about 30 minutes.",15 mins,45 mins,1 hr,4,4 servings,424.9,37.3,15.8,22.4,13.5,71.0,23.1,6.9,432.2,201.9,620.6,2.7,87.9,1120.4,,,2065.0,7.1,,207.1,182.0,0.3,,,,,,,,,,
